UserID,ProductID,Quantity,DateAdded
592,34291,5,2025-10-30 18:17:22
7313,71657,1,2025-10-29 18:17:22
5488,29453,1,2025-10-30 18:17:22
8689,53165,1,2025-11-23 18:17:22
3667,92996,1,2025-10-25 18:17:22
3267,25532,5,2025-11-22 18:17:22
2863,4550,1,2025-11-07 18:17:22
7328,18548,5,2025-11-10 18:17:22
930,11163,4,2025-11-10 18:17:22
1693,33440,1,2025-10-27 18:17:22
8505,68501,1,2025-11-08 18:17:22
2783,91902,4,2025-10-30 18:17:22
6734,32286,1,2025-10-28 18:17:22
8174,88099,3,2025-11-02 18:17:22
2686,96454,5,2025-11-19 18:17:22
8560,47165,5,2025-11-04 18:17:22
8774,44532,3,2025-11-16 18:17:22
8487,73522,5,2025-10-24 18:17:22
6107,19133,5,2025-11-14 18:17:22
9333,1292,4,2025-11-14 18:17:22
6486,6009,2,2025-10-31 18:17:22
7173,54082,5,2025-11-01 18:17:22
6515,6243,2,2025-11-07 18:17:22
8432,15837,2,2025-10-24 18:17:22
9181,65128,1,2025-11-15 18:17:22
3285,30572,3,2025-11-20 18:17:22
7257,22555,2,2025-11-12 18:17:22
8955,75373,5,2025-11-18 18:17:22
3629,48565,1,2025-11-11 18:17:22
6742,18585,3,2025-11-18 18:17:22
595,78595,5,2025-11-20 18:17:22
8579,14061,2,2025-11-18 18:17:22
5349,2822,3,2025-11-09 18:17:22
6816,37100,1,2025-11-04 18:17:22
1253,26359,2,2025-11-04 18:17:22
8852,32933,3,2025-10-29 18:17:22
9655,23733,5,2025-11-16 18:17:22
2118,58937,1,2025-11-04 18:17:22
2976,6049,3,2025-10-26 18:17:22
2631,89442,5,2025-11-23 18:17:22
5520,35400,3,2025-11-07 18:17:22
8938,81498,4,2025-11-04 18:17:22
7501,62335,3,2025-10-26 18:17:22
3661,35847,4,2025-11-08 18:17:22
8777,7281,4,2025-11-04 18:17:22
7314,75326,4,2025-10-29 18:17:22
4197,30869,1,2025-11-03 18:17:22
379,52387,4,2025-11-05 18:17:22
6727,46919,3,2025-11-14 18:17:22
7287,19175,2,2025-11-11 18:17:22
166,86044,1,2025-11-07 18:17:22
8698,28399,5,2025-11-04 18:17:22
1586,27892,2,2025-11-07 18:17:22
