CategoryName,Description,IsActive
Electronics,High-quality electronics products for all your needs,1
Clothing,High-quality clothing products for all your needs,1
Books,High-quality books products for all your needs,1
Home & Kitchen,High-quality home & kitchen products for all your needs,1
Sports & Outdoors,High-quality sports & outdoors products for all your needs,1
Toys & Games,High-quality toys & games products for all your needs,1
Beauty & Personal Care,High-quality beauty & personal care products for all your needs,1
Automotive,High-quality automotive products for all your needs,1
Health & Wellness,High-quality health & wellness products for all your needs,1
Jewelry,High-quality jewelry products for all your needs,1
Furniture,High-quality furniture products for all your needs,1
Garden & Outdoor,High-quality garden & outdoor products for all your needs,1
Pet Supplies,High-quality pet supplies products for all your needs,1
Office Products,High-quality office products products for all your needs,1
Grocery & Gourmet,High-quality grocery & gourmet products for all your needs,1
Baby Products,High-quality baby products products for all your needs,1
Tools & Home Improvement,High-quality tools & home improvement products for all your needs,1
Arts & Crafts,High-quality arts & crafts products for all your needs,1
Musical Instruments,High-quality musical instruments products for all your needs,1
Video Games,High-quality video games products for all your needs,1
Shoes,High-quality shoes products for all your needs,1
Watches,High-quality watches products for all your needs,1
Luggage & Travel,High-quality luggage & travel products for all your needs,1
Industrial & Scientific,High-quality industrial & scientific products for all your needs,1
Handmade Products,High-quality handmade products products for all your needs,1
Smart Home,High-quality smart home products for all your needs,1
Camera & Photo,High-quality camera & photo products for all your needs,1
Cell Phones & Accessories,High-quality cell phones & accessories products for all your needs,1
Computers & Tablets,High-quality computers & tablets products for all your needs,1
Audio & Headphones,High-quality audio & headphones products for all your needs,1
TV & Video,High-quality tv & video products for all your needs,1
Wearable Technology,High-quality wearable technology products for all your needs,1
Kitchen Appliances,High-quality kitchen appliances products for all your needs,1
Bedding & Bath,High-quality bedding & bath products for all your needs,1
Home Decor,High-quality home decor products for all your needs,1
Lighting,High-quality lighting products for all your needs,1
Storage & Organization,High-quality storage & organization products for all your needs,1
Party Supplies,High-quality party supplies products for all your needs,1
Gift Cards,High-quality gift cards products for all your needs,1
Magazine Subscriptions,High-quality magazine subscriptions products for all your needs,1
Collectibles & Fine Art,High-quality collectibles & fine art products for all your needs,1
Entertainment Collectibles,High-quality entertainment collectibles products for all your needs,1
Sports Collectibles,High-quality sports collectibles products for all your needs,1
Trading Cards,High-quality trading cards products for all your needs,1
Coins & Paper Money,High-quality coins & paper money products for all your needs,1
Stamps,High-quality stamps products for all your needs,1
Sewing & Needlework,High-quality sewing & needlework products for all your needs,1
Scrapbooking,High-quality scrapbooking products for all your needs,1
Beading & Jewelry Making,High-quality beading & jewelry making products for all your needs,1
Painting & Drawing,High-quality painting & drawing products for all your needs,1
